Time,MSGS RECEIVED
10/09/2025 11:27:31.894 AM,"#BESTXYZA,COM2,0,89.5,FINESTEERING,2159,69543.000,02004000,44cf,16410;SOL_COMPUTED,SINGLE,6045516.8785,2604281.5394,1909226.5420,2.5968,1.9549,1.7939,SOL_COMPUTED,DOPPLER_VELOCITY,-1351.4968,-2214.4020,7255.0976,0.3104,0.2337,0.2144,"""",0.000,0.000,0.000,8,8,8,0,0,02,00,01*30aa39a0
"
10/09/2025 11:27:32.095 AM,"#HWMONITORA,COM2,0,89.5,FINESTEERING,2159,69543.000,02004000,52db,16410;9,31.807083130,100,0.129304036,200,3.272283316,600,5.061782837,700,1.199023247,800,3.274725437,f00,1.813186884,1100,5.100854874,1500,33.150184631,1600*74321e7b
"
10/09/2025 11:27:32.297 AM,"#PSRDOPA,COM2,0,90.5,FINESTEERING,2159,69544.000,02004000,1779,16410;1.6570,1.5080,0.9020,1.1340,0.6870,5.0,8,9,16,20,19,21,6,22,13*3001ed26
"
10/09/2025 11:27:32.497 AM,"#TIMEA,COM2,0,90.5,FINESTEERING,2159,69544.000,02004000,9924,16410;VALID,-2.904126547e-10,1.155879585e-09,-18.00000000000,2021,5,23,19,18,46000,VALID*f4456aa0
"
10/09/2025 11:27:32.696 AM,"$GPGSV,3,1,10,21,73,244,43,09,57,254,43,22,55,028,43,04,30,153,*7A
$GPGSV,3,2,10,16,26,330,42,19,18,287,41,13,17,118,42,20,13,054,41*7B
$GPGSV,3,3,10,06,07,209,41,07,04,174,*76
"
10/09/2025 11:27:32.899 AM,"#BESTXYZA,COM2,0,90.5,FINESTEERING,2159,69544.000,02004000,44cf,16410;SOL_COMPUTED,SINGLE,6044161.5539,2602065.6490,1916480.5006,2.5968,1.9548,1.7940,SOL_COMPUTED,DOPPLER_VELOCITY,-1359.2471,-2217.4256,7252.7499,0.3104,0.2336,0.2144,"""",0.000,0.000,0.000,8,8,8,0,0,02,00,01*e0bff73a
"
10/09/2025 11:27:33.099 AM,"#HWMONITORA,COM2,0,90.5,FINESTEERING,2159,69544.000,02004000,52db,16410;9,31.807083130,100,0.129181936,200,3.275946379,600,5.061782837,700,1.199023247,800,3.274725437,f00,1.816849828,1100,5.100854874,1500,33.150184631,1600*fbfc6c47
"
10/09/2025 11:27:33.299 AM,"#PSRDOPA,COM2,0,90.5,FINESTEERING,2159,69545.000,02004000,1779,16410;1.6570,1.5080,0.9020,1.1340,0.6870,5.0,8,9,16,20,19,21,6,22,13*67c4a53f
"
10/09/2025 11:27:33.499 AM,"#TIMEA,COM2,0,90.5,FINESTEERING,2159,69545.000,02004000,9924,16410;VALID,-1.275285696e-10,1.158366167e-09,-18.00000000000,2021,5,23,19,18,47000,VALID*655dfbc1
"
10/09/2025 11:27:33.698 AM,"#BESTXYZA,COM2,0,90.5,FINESTEERING,2159,69545.000,02004000,44cf,16410;SOL_COMPUTED,SINGLE,6042798.4681,2599846.7598,1923732.0631,2.5966,1.9547,1.7940,SOL_COMPUTED,DOPPLER_VELOCITY,-1367.0573,-2220.4536,7250.3444,0.3104,0.2336,0.2144,"""",0.000,0.000,0.000,8,8,8,0,0,02,00,01*04a1b32b
"
